[2026-04-08 16:24:00+00:00] 16:23 Break (25078.75). Tests: 0, opp: True, ret: False, org: False
[2026-04-08 16:25:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: False, org: False
[2026-04-08 16:26:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: False, org: False
[2026-04-08 16:27:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:28:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:29:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:30:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:31:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:32:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:33:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:34:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:35:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:36:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:37:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:38:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:39:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:40:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:41:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:42:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:43:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:44:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:45:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:46:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:47:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:48:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:49:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:50:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:51:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:52:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:53:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:54:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:55:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:56:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: True, ret: False, org: False
[2026-04-08 16:57:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:58:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
[2026-04-08 16:59:00+00:00] 16:23 Break (25078.75). Tests: 1, opp: False, ret: True, org: False
