--- Running Pine Script Logic Test over last 4 weeks ---
Processed 0 candles...
[2026-03-11 19:49:00+00:00] Candidate updated: cand_open=25176.75
[2026-03-11 19:50:00+00:00] Candidate updated: cand_open=25178.75
[2026-03-11 20:31:00+00:00] Candidate updated: cand_open=25180.0
[2026-03-11 22:13:00+00:00] Support candidate updated: cand_open=25121.0
[2026-03-11 23:00:00+00:00] Support candidate updated: cand_open=25065.75
[2026-03-11 23:01:00+00:00] Support candidate updated: cand_open=25063.75
[2026-03-12 00:25:00+00:00] Support candidate updated: cand_open=24996.5
[2026-03-12 00:25:00+00:00] Support candidate updated: cand_open=24996.5
[2026-03-12 00:36:00+00:00] Support candidate updated: cand_open=25013.0
[2026-03-12 00:37:00+00:00] Support candidate updated: cand_open=25010.25
[2026-03-12 00:40:00+00:00] Support candidate updated: cand_open=25019.5
[2026-03-12 00:40:00+00:00] Support candidate updated: cand_open=25019.5
[2026-03-12 00:49:00+00:00] Support candidate updated: cand_open=25018.25
[2026-03-12 00:50:00+00:00] Support candidate updated: cand_open=25015.75
[2026-03-11 23:21:00+00:00] Support candidate updated: cand_open=25061.0
[2026-03-11 23:22:00+00:00] Support candidate updated: cand_open=25056.5
[2026-03-12 02:32:00+00:00] Support candidate updated: cand_open=24977.25
[2026-03-12 03:24:00+00:00] Support candidate updated: cand_open=24960.25
[2026-03-12 04:08:00+00:00] Support candidate updated: cand_open=24964.0
[2026-03-12 04:09:00+00:00] Support candidate updated: cand_open=24961.5
[2026-03-12 05:34:00+00:00] Support candidate updated: cand_open=24980.0
[2026-03-12 06:30:00+00:00] Support candidate updated: cand_open=25005.5
[2026-03-12 06:31:00+00:00] Support candidate updated: cand_open=25003.0
[2026-03-12 07:06:00+00:00] Support candidate updated: cand_open=25040.0
[2026-03-11 23:21:00+00:00] Support candidate updated: cand_open=25061.0
[2026-03-11 23:22:00+00:00] Support candidate updated: cand_open=25056.5
[2026-03-12 07:27:00+00:00] Support candidate updated: cand_open=25053.5
[2026-03-12 07:27:00+00:00] Support candidate updated: cand_open=25053.5
[2026-03-12 07:28:00+00:00] Support candidate updated: cand_open=25054.25
[2026-03-12 08:04:00+00:00] Support candidate updated: cand_open=25115.5
[2026-03-12 08:06:00+00:00] Support candidate updated: cand_open=25114.5
[2026-03-12 08:09:00+00:00] Support candidate updated: cand_open=25118.5
[2026-03-12 08:10:00+00:00] Support candidate updated: cand_open=25116.5
[2026-03-12 09:47:00+00:00] Candidate updated: cand_open=25109.25
[2026-03-12 10:01:00+00:00] Support candidate updated: cand_open=25142.0
[2026-03-12 10:31:00+00:00] Support candidate updated: cand_open=25129.5
[2026-03-12 10:35:00+00:00] Support candidate updated: cand_open=25124.5
[2026-03-12 11:01:00+00:00] Support candidate updated: cand_open=25102.25
[2026-03-12 11:01:00+00:00] Support candidate updated: cand_open=25102.25
[2026-03-12 10:49:00+00:00] Support candidate updated: cand_open=25120.25
[2026-03-12 10:49:00+00:00] Support candidate updated: cand_open=25120.25
[2026-03-12 10:31:00+00:00] Support candidate updated: cand_open=25129.5
Processed 1000 candles...
[2026-03-12 12:49:00+00:00] Support candidate updated: cand_open=25045.25
[2026-03-12 12:51:00+00:00] Support candidate updated: cand_open=25042.0
[2026-03-12 12:30:00+00:00] Support candidate updated: cand_open=25060.75
[2026-03-12 13:27:00+00:00] Support candidate updated: cand_open=25013.0
[2026-03-12 15:28:00+00:00] Support candidate updated: cand_open=24854.75
[2026-03-12 15:29:00+00:00] Support candidate updated: cand_open=24854.5
[2026-03-12 15:28:00+00:00] Support candidate updated: cand_open=24854.75
[2026-03-12 15:29:00+00:00] Support candidate updated: cand_open=24854.5
[2026-03-12 16:06:00+00:00] Support candidate updated: cand_open=24914.0
[2026-03-12 14:13:00+00:00] Support candidate updated: cand_open=24956.75
[2026-03-12 14:15:00+00:00] Support candidate updated: cand_open=24955.0
[2026-03-12 14:16:00+00:00] Support candidate updated: cand_open=24953.25
[2026-03-12 18:04:00+00:00] Support candidate updated: cand_open=24870.0
[2026-03-12 19:23:00+00:00] Support candidate updated: cand_open=24843.0
[2026-03-12 19:24:00+00:00] Support candidate updated: cand_open=24835.0
[2026-03-12 19:23:00+00:00] Support candidate updated: cand_open=24843.0
[2026-03-12 18:33:00+00:00] Support candidate updated: cand_open=24861.75
[2026-03-12 20:19:00+00:00] Support candidate updated: cand_open=24767.0
[2026-03-12 20:44:00+00:00] Support candidate updated: cand_open=24783.0
[2026-03-12 20:51:00+00:00] Support candidate updated: cand_open=24792.0
[2026-03-12 22:08:00+00:00] Support candidate updated: cand_open=24794.75
[2026-03-12 23:45:00+00:00] Support candidate updated: cand_open=24785.25
[2026-03-12 23:33:00+00:00] Support candidate updated: cand_open=24801.5
[2026-03-12 19:31:00+00:00] Support candidate updated: cand_open=24848.75
[2026-03-12 19:31:00+00:00] Support candidate updated: cand_open=24848.75
[2026-03-13 00:35:00+00:00] Support candidate updated: cand_open=24855.0
[2026-03-13 00:35:00+00:00] Support candidate updated: cand_open=24855.0
[2026-03-13 01:02:00+00:00] Support candidate updated: cand_open=24861.0
[2026-03-13 03:01:00+00:00] Support candidate updated: cand_open=24830.5
